$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S634C	R. JOSEPHA DEREN DESTEFANI
$S636F	R. GABRIEL CORISCO DOMINGUES
$S6230	R. FREDERICO MAURER
$S6340	R. ANTONIO SCHIEBEL
$S6090	R. PAULO SETUBAL
$S6420	R. DESEMBARGADOR ANTONIO DE PAULA
$S601G	R. DOUTOR DANILO GOMES
$S644J	R. DIOGO MUGIATTI
$S5850	R. CRISTIANO STROBEL
$S6460	R. BLEY ZORNING
$S646K	R. MAX SCHUBERT
$S6490	R. JORGE BREY
$S648K	R. BOM PASTOR
$S649B	R. JULIO ZANDONA
$S6460	R. BLEY ZORNING
$S5850	R. CRISTIANO STROBEL
$S644J	R. DIOGO MUGIATTI
$S601G	R. DOUTOR DANILO GOMES
$S6420	R. DESEMBARGADOR ANTONIO DE PAULA
$S6090	R. PAULO SETUBAL
$S6340	R. ANTONIO SCHIEBEL
$S6250	R. TENENTE FRANCISCO FERREIRA DE SOUZA
$S636C	R. ITALINO PERUFFO
