PTO0006109|N	ESTAÇÃO TUBO GUADALUPE
$C0230	R. JOAO NEGRAO
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$W700A	R. FRANCISCO FRISCHMANN
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W1230	R. PEDRO ZAGONEL
$C3000	AV. REPUBLICA ARGENTINA
$W1370	R. PEDRO GUSSO
$W100D	R. ANTONIO GASPARIN
$W100G	R. MARECHAL OTAVIO SALDANHA MAZZA
$W1610	R. MARECHAL RONDON
$C3020	AV. WINSTON CHURCHILL
$W1690	R. DOUTOR WALDEMIRO PEREIRA
$W100G	R. MARECHAL OTAVIO SALDANHA MAZZA
$S4330	R. IZAAC FERREIRA DA CRUZ
PTO0006512|N	ESTAÇÃO TUBO CHAPINHAL
$S5270	R. FRANCISCO DEROSSO
$S6500	R. MAESTRO CARLOS FRANK
PTO0006511|N	ESTAÇÃO TUBO ALTO BOQUEIRÃO
$S0261	AV. MARECHAL FLORIANO PEIXOTO
$S6160	R. WALDEMAR KOST
$S6290	R. ANNE FRANK
$S602A	R. ARTUR HAUER
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S209D	R. JOAO VIANA SEILER
$C0230	R. JOAO NEGRAO
$S0170	R. CONSELHEIRO DANTAS
$C0250	R. CONSELHEIRO LAURINDO
$C0100	R. MARECHAL DEODORO
$C0230	R. JOAO NEGRAO
