$N0060	R. CANDIDO DE ABREU
$N0350	R. LYSIMACO FERREIRA DA COSTA
$N0080	R. MATEUS LEME
$N3490	R. PROSDOCIMO LAGO
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$AT59B	ROD. BR. DO RIO BRANCO (ALM TAMANDARÉ)
$AT52B	R. VISC. DE MAUÁ (ALM TAMANDARÉ)
$AT63B	R. SANTOS DUMONT (ALM TAMANDARÉ)
$AT65B	R. DR. LUIZ J. PERROTI (ALM TAMANDARÉ)
$AT63B	R. SANTOS DUMONT (ALM TAMANDARÉ)
$AT52B	R. VISC. DE MAUÁ (ALM TAMANDARÉ)
$AT59B	ROD. BR. DO RIO BRANCO (ALM TAMANDARÉ)
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$N3490	R. PROSDOCIMO LAGO
$N0080	R. MATEUS LEME
$N0270	R. BARAO DE ANTONINA
$C1000	AV. JOAO GUALBERTO
$N0230	R. INACIO LUSTOSA
