PCA002	PRAÇA TIRADENTES
$C015L	R. JOSE BONIFACIO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
$C0180	AL. AUGUSTO STELLFELD
$C0130	R. EBANO PEREIRA
$C012J	AV. LUIZ XAVIER
$C011H	R. DESEMBARGADOR ERMELINO DE LEAO
$C0140	R. DOUTOR CARLOS DE CARVALHO
$C0090	R. VISCONDE DE NACAR
$S0200	R. VINTE E QUATRO DE MAIO
PCA001	PRAÇA RUI BARBOSA
$C0040	R. ANDRE DE BARROS
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$C0080	R. JOSE LOUREIRO
$C0210	R. BARAO DO RIO BRANCO
$C2500	AV. SETE DE SETEMBRO
$C0230	R. JOAO NEGRAO
$S0170	R. CONSELHEIRO DANTAS
$S017E	R. GUABIROTUBA
$S0340	R. DOUTOR REYNALDO MACHADO
$S015E	R. CORONEL ZACARIAS
$S0150	R. CHILE
$S0360	R. FRANCISCO NUNES
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015O	R. ENGENHEIRO OSTOJA ROGUSKI
$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$C0330	R. DOUTOR FAIVRE
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0290	R. MARIANO TORRES
$PC010	LRG. BITTENCOURT
$C0260	R. PRESIDENTE CARLOS CAVALCANTI
$C021K	R. PRESIDENTE FARIA
$N0040	R. HEITOR STOCKLER DE FRANCA
$N0060	R. CANDIDO DE ABREU
$N0370	R. ERNANI SANTIAGO DE OLIVEIRA
$N002C	R. PREFEITO ROSALVO GOMES MELLO LEITAO
$N0540	R. MARECHAL HERMES
$N0470	R. MANOEL EUFRASIO
$N0560	R. VIEIRA DOS SANTOS
$N049A	R. JOSE SABOIA CORTES
$N0080	R. MATEUS LEME
$N2010	R. CARLOS PIOLI
$N041C	R. ANGELO ZENI
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N4150	R. FRANCISCO SCHAFFER
$N415A	R. NICCOLO PAGANINI
$N418B	R. JOAO TSCHANNERL
$N4170	R. SANTA CECILIA
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N315A	R. VICTOR BENATO
$N3080	R. PRIMEIRO-MINISTRO BROCHADO DA ROCHA
$N3110	R. JOSE FIORI
$N3000	R. NILO PECANHA
$N215C	R. EVALDO WENDLER
$N0080	R. MATEUS LEME
$N3330	R. JOAO GAVA
$N3000	R. NILO PECANHA
$N3460	R. EUGENIO FLOR
$N343B	R. OSWALDO MACIEL
$N3460	R. EUGENIO FLOR
$N4520	R. DESEMBARGADOR JOSE CARLOS RIBEIRO RIBAS
$N3310	R. SAO SALVADOR
$N4390	R. DOMINGOS ANTONIO MORO
$N4410	AV. FREDOLIN WOLF
$N503C	R. MELCHIADES SILVEIRA DO VALLE
$N424B	R. PROFESSOR DARIO GARCIA
$N4280	R. JOSE CASAGRANDE
$N6160	AV. MANOEL RIBAS
$N648D	R. VEREADOR JOBAR CASSOU
$N6310	R. MARCOS MOCELLIN
$N6160	AV. MANOEL RIBAS
$N7040	R. NICOLAU JOSE GRAVINA
$N8010	AV. CANDIDO HARTMANN
$N0320	R. JACAREZINHO
$W0030	AL. PRESIDENTE TAUNAY
$N024A	R. JULIA WANDERLEY
$N6160	AV. MANOEL RIBAS
$C018N	AV. JAIME REIS
$C0150	AL. DOUTOR MURICY
$C014I	R. CRUZ MACHADO
