PCA003	PRAÇA CARLOS GOMES
$C0080	R. JOSE LOUREIRO
$C0230	R. JOAO NEGRAO
$C0040	R. ANDRE DE BARROS
$C004M	R. NILO CAIRO
$E0340	AV. SENADOR SOUZA NAVES
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E4080	R. GOTTLIEB ROSENAU
$E4050	R. FREI ORLANDO
$E0420	R. GOVERNADOR AGAMENON MAGALHAES
$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$E5030	R. ANTONIO OLIVIO RODRIGUES
$E0420	R. GOVERNADOR AGAMENON MAGALHAES
$E5090	R. ANTONIO SIMM
$E4380	R. SUECIA
$E425C	R. ENGENHEIRO FARID SURUGI
$E517B	R. VICTORIO VIZINONI
$E5170	R. OCTAVIO SCHIAVON
$E526D	R. PROFESSOR BENEDITO CONCEICAO
$S9120	R. PROFESSOR NIVALDO BRAGA
$E5200	R. OSMARIO DE LIMA
$E5290	R. PASTOR MANOEL VIRGINIO DE SOUZA
$E5200	R. OSMARIO DE LIMA
$S9120	R. PROFESSOR NIVALDO BRAGA
$E526D	R. PROFESSOR BENEDITO CONCEICAO
$E5170	R. OCTAVIO SCHIAVON
$E517B	R. VICTORIO VIZINONI
$E425C	R. ENGENHEIRO FARID SURUGI
$E4380	R. SUECIA
$E5090	R. ANTONIO SIMM
$E0420	R. GOVERNADOR AGAMENON MAGALHAES
$E5030	R. ANTONIO OLIVIO RODRIGUES
$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$E0390	R. URBANO LOPES
$E5260	R. ROBERTO CICHON
$E0410	AV. NOSSA SENHORA DA PENHA
$E0420	R. GOVERNADOR AGAMENON MAGALHAES
$E4050	R. FREI ORLANDO
$E4080	R. GOTTLIEB ROSENAU
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E0320	R. REINALDINO SCHAFFEMBERG DE QUADROS
$C006M	R. COMENDADOR MACEDO
$C0250	R. CONSELHEIRO LAURINDO
$C0100	R. MARECHAL DEODORO
$C0150	AL. DOUTOR MURICY
$C0080	R. JOSE LOUREIRO
