PCA002	PRAÇA TIRADENTES
$C014H	R. CANDIDO LOPES
$C0140	R. DOUTOR CARLOS DE CARVALHO
$C0070	R. VISCONDE DO RIO BRANCO
$C0180	AL. AUGUSTO STELLFELD
$N8010	AV. CANDIDO HARTMANN
$C0200	AL. PRINCESA IZABEL
$W0170	R. EUCLIDES DA CUNHA
$N8100	R. LUCIO RASERA
$N801B	R. DOUTOR ALVARO ALBUQUERQUE
$N032B	R. PEDRO NOLASKO PIZZATTO
$N0090	R. EDMUNDO SAPORSKI
$N034A	R. DOUTOR CARLOS DE PAULA SOARES
$N0070	R. GENERAL AGOSTINHO PEREIRA ALVES FILHO
$N036B	R. PEDRO NOGAROLLI
$N8010	AV. CANDIDO HARTMANN
$N8150	R. PADRE LADISLAU KULA
$N832D	R. LUIZ KULA
$N8150	R. PADRE LADISLAU KULA
$N8010	AV. CANDIDO HARTMANN
$N036B	R. PEDRO NOGAROLLI
$N0070	R. GENERAL AGOSTINHO PEREIRA ALVES FILHO
$N034A	R. DOUTOR CARLOS DE PAULA SOARES
$N0090	R. EDMUNDO SAPORSKI
$N032B	R. PEDRO NOLASKO PIZZATTO
$N801B	R. DOUTOR ALVARO ALBUQUERQUE
$N8100	R. LUCIO RASERA
$W0170	R. EUCLIDES DA CUNHA
$C0200	AL. PRINCESA IZABEL
$C0010	R. DESEMBARGADOR MOTTA
$C0160	R. SALDANHA MARINHO
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C014I	R. CRUZ MACHADO
