$C1020	AV. PARANA
$E0250	R. DOUTOR MANOEL PEDRO
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$AT98B	AV. FRANCISCO KRUGER (ALM TAMANDARÉ)
$AT85A	R. PROF. ANTÔNIO R. DIAS (ALM TAMANDARÉ)
$AT86A	R. ANTONIO JOHNSON (ALM TAMANDARÉ)
$AT47E	R. DOMINGOS SCUCATO (ALM TAMANDARÉ)
TERM030|N	TERMINAL TAMANDARÉ
$AT86A	R. ANTONIO JOHNSON (ALM TAMANDARÉ)
$AT85A	R. PROF. ANTÔNIO R. DIAS (ALM TAMANDARÉ)
$AT98B	AV. FRANCISCO KRUGER (ALM TAMANDARÉ)
$C023P	R. FLAVIO DALLEGRAVE
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$N0700	AV. ANITA GARIBALDI
$C023P	R. FLAVIO DALLEGRAVE
$N070E	AV. ANITA GARIBALDI
$N0680	R. CORONEL AMAZONAS MARCONDES
$E025J	R. FUNCIONARIOS, DOS
