$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S636C	R. ITALINO PERUFFO
$S6290	R. ANNE FRANK
$S6360	R. NAPOLEAO LAUREANO
$S6370	R. CARMELITAS, DAS
$S638B	R. JOSE HAUER
$S6470	R. AUGUSTO DIAS PAREDES
$S6420	R. DESEMBARGADOR ANTONIO DE PAULA
$S647K	R. DOUTOR LAURINDO ABELARDO DE BRITO
$S6440	R. DIOGO MUGIATTI
$S647M	R. IRENO MARCHESINI
$S6460	R. BLEY ZORNING
$S647K	R. DOUTOR LAURINDO ABELARDO DE BRITO
$S6420	R. DESEMBARGADOR ANTONIO DE PAULA
$S6470	R. AUGUSTO DIAS PAREDES
$S638B	R. JOSE HAUER
$S6370	R. CARMELITAS, DAS
$S6360	R. NAPOLEAO LAUREANO
$S6290	R. ANNE FRANK
$S634C	R. JOSEPHA DEREN DESTEFANI
